Date,DJIA
5/27/2003,8781.35
5/28/2003,8793.12
5/29/2003,8711.18
5/30/2003,8850.26
6/2/2003,8897.81
6/3/2003,8922.95
6/4/2003,9038.98
6/5/2003,9041.3
6/6/2003,9062.79
6/9/2003,8980
6/10/2003,9054.89
6/11/2003,9183.22
6/12/2003,9196.55
6/13/2003,9117.12
6/16/2003,9318.96
6/17/2003,9323.02
6/18/2003,9293.8
6/19/2003,9179.53
6/20/2003,9200.75
6/23/2003,9072.95
6/24/2003,9109.85
6/25/2003,9011.53
6/26/2003,9079.04
6/27/2003,8989.05
6/30/2003,8985.44
7/1/2003,9040.95
7/2/2003,9142.84
7/3/2003,9070.21
7/7/2003,9216.79
7/8/2003,9223.09
7/9/2003,9156.21
7/10/2003,9036.04
7/11/2003,9119.59
7/14/2003,9177.15
7/15/2003,9128.97
7/16/2003,9094.59
7/17/2003,9050.82
7/18/2003,9188.15
7/21/2003,9096.69
7/22/2003,9158.45
7/23/2003,9194.24
7/24/2003,9112.51
7/25/2003,9284.57
7/28/2003,9226.51
7/29/2003,9204.46
7/30/2003,9200.05
7/31/2003,9233.8
8/1/2003,9153.97
8/4/2003,9186.04
8/5/2003,9036.32
8/6/2003,9061.74
8/7/2003,9126.45
8/8/2003,9191.09
8/11/2003,9217.35
8/12/2003,9310.06
8/13/2003,9271.76
8/14/2003,9310.56
8/15/2003,9321.69
8/18/2003,9412.45
8/19/2003,9428.9
8/20/2003,9397.51
8/21/2003,9423.68
8/22/2003,9348.87
8/25/2003,9317.64
8/26/2003,9340.45
8/27/2003,9333.79
8/28/2003,9374.21
8/29/2003,9415.82
9/2/2003,9532.27
9/3/2003,9568.46
9/4/2003,9587.9
9/5/2003,9503.34
9/8/2003,9586.29
9/9/2003,9507.2
9/10/2003,9420.46
9/11/2003,9459.76
9/12/2003,9471.55
9/15/2003,9448.81
9/16/2003,9567.34
9/17/2003,9545.65
9/18/2003,9659.13
9/19/2003,9644.32
9/22/2003,9535.41
9/23/2003,9567.04
9/24/2003,9425.51
9/25/2003,9343.96
9/26/2003,9313.08
9/29/2003,9380.24
9/30/2003,9275.06
10/1/2003,9469.2
10/2/2003,9487.8
10/3/2003,9572.31
10/6/2003,9597.98
10/7/2003,9654.61
10/8/2003,9630.9
10/9/2003,9680.01
10/10/2003,9674.68
10/13/2003,9764.38
10/14/2003,9812.98
10/15/2003,9803.05
10/16/2003,9791.72
10/17/2003,9721.79
10/20/2003,9777.94
10/21/2003,9747.64
10/22/2003,9598.24
10/23/2003,9613.13
10/24/2003,9582.46
10/27/2003,9608.16
10/28/2003,9748.31
10/29/2003,9774.53
10/30/2003,9786.61
10/31/2003,9801.12
11/3/2003,9858.46
11/4/2003,9838.83
11/5/2003,9820.83
11/6/2003,9856.97
11/7/2003,9809.79
11/10/2003,9756.53
11/11/2003,9737.79
11/12/2003,9848.83
11/13/2003,9837.94
11/14/2003,9768.68
11/17/2003,9710.83
11/18/2003,9624.16
11/19/2003,9690.46
11/20/2003,9619.42
11/21/2003,9628.53
11/24/2003,9747.79
11/25/2003,9763.94
11/26/2003,9779.57
11/28/2003,9782.48
12/1/2003,9899.05
12/2/2003,9853.64
12/3/2003,9873.42
12/4/2003,9930.82
12/5/2003,9862.68
12/8/2003,9965.27
12/9/2003,9923.42
12/10/2003,9921.86
12/11/2003,10008.16
12/12/2003,10042.16
12/15/2003,10022.82
12/16/2003,10129.56
12/17/2003,10145.26
12/18/2003,10248.08
12/19/2003,10278.22
12/22/2003,10338
12/23/2003,10341.26
12/24/2003,10305.19
12/26/2003,10324.67
12/29/2003,10450
12/30/2003,10425.04
12/31/2003,10453.92
1/2/2004,10409.85
1/5/2004,10544.07
1/6/2004,10538.66
1/7/2004,10529.03
1/8/2004,10592.44
1/9/2004,10458.89
1/12/2004,10485.18
1/13/2004,10427.18
1/14/2004,10538.37
1/15/2004,10553.85
1/16/2004,10600.51
1/20/2004,10528.66
1/21/2004,10623.62
1/22/2004,10623.18
